artist1.x,artist,track,url,artist1.y,birth,death
Claude Debussy,Claude Debussy (1862-1918),"Images For Orchestra, L. 122 / 2. Ibéria: 1. Par les rues et par les chemins",https://open.spotify.com/track/1GC6iDuEKiWhmaPyydzp7S,Claude Debussy,1862,1918
Robert Schumann,Robert Schumann (1810-1856),"Schumann: Piano Concerto in A Minor, Op. 54: I. Allegro affettuoso",https://open.spotify.com/track/2JzsHRzDT3kCokSu0ggZ8U,Robert Schumann,1810,1856
Gustav Mahler,Gustav Mahler (1860-1911),"Symphony No. 2 in C Minor ""Resurrection"": I. Allegro maestoso - Mit durchaus ernstem und feierlichem Ausdruck",https://open.spotify.com/track/0hBIISqYVIvY8ikBaeTVEk,Gustav Mahler,1860,1911
Pierre Boulez,Pierre Boulez (1925-2016),"Boulez: 12 Notations pour piano: No. 1, Fantasque - Modéré",https://open.spotify.com/track/1m2obS65C00fDT0AUyeEwI,Pierre Boulez,1925,2016
Toru Takemitsu,Toru Takemitsu (1930-1996),"Piano Pieces for Children: No. 2, Clouds",https://open.spotify.com/track/2iRsotmmKJqxEPriYuMxDj,Toru Takemitsu,1930,1996
Toru Takemitsu,Toru Takemitsu (1930-1996),Saegirarenai kyusoku: III. A song of love (Uninterrupted Rest),https://open.spotify.com/track/11YQqfpWpsjtapYzTRlhlB,Toru Takemitsu,1930,1996
Michael Praetorius,Michael Praetorius (1571-1621),Suite No. 1 in C Major: II. Spagnoletta,https://open.spotify.com/track/54zeWeNKZHaNYKY2lHY1gY,Michael Praetorius,1571,1621
Antonio Vivaldi,Antonio Vivaldi (1678-1741),"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",https://open.spotify.com/track/64ZxBE1ZgK4C0lGljXzDcG,Antonio Vivaldi,1678,1741
Giovanni Battista Pergolesi,Giovanni Battista Pergolesi (1710-1736),Lo frate 'nnamorato: II. Andante,https://open.spotify.com/track/6xhVf7SgpsCDV0im95XTe3,Giovanni Battista Pergolesi,1710,1736
Felix Mendelssohn,Felix Mendelssohn (1809-1847),"Violin Concerto In E Minor, Op. 64, MWV O14: I. Allegro molto appassionato",https://open.spotify.com/track/0gXVAsYYkkEqAB1pwAnRVM,Felix Mendelssohn,1809,1847
Amy Beach,Amy Beach (1867-1944),"Young Birches, Op. 128, No. 2",https://open.spotify.com/track/4VVEfBXep7FdOt524jkfLF,Amy Beach,1867,1944
Iannis Xenakis,Iannis Xenakis (1922-2001),Metastaseis,https://open.spotify.com/track/79yUST37eI7V4CyMnvKOOv,Iannis Xenakis,1922,2001
Elliott Carter,Elliott Carter (1908-2012),"2 Thoughts About the Piano, No. 2. Caténaires: 2 Thoughts About the Piano: No. 2, Caténaires",https://open.spotify.com/track/4KAUr4cEzbifN7Xy2ALEOu,Elliott Carter,1908,2012
Francisco de Peñalosa,Francisco de Peñalosa (1470-1528),Por Las Sierras De Madrid,https://open.spotify.com/track/28FRxQGonGm37cmCkdAIrB,Francisco de Peñalosa,1470,1528
Jan Pieterszoon Sweelinck,Jan Pieterszoon Sweelinck (1562-1621),"Pseaumes de David, Livre 2: No. 30, Resveillez-vous, chacun fidèle",https://open.spotify.com/track/6aFgeazT8FPb8jaAyHleBs,Jan Pieterszoon Sweelinck,1562,1621
Michel Corrette,Michel Corrette (1707-1795),Noel Symphony No. 4 in D Minor: I. Une jeune pucelle: Moderato,https://open.spotify.com/track/6JkDThoofgbKj59ykGwRph,Michel Corrette,1707,1795
Giuseppe Verdi,Giuseppe Verdi (1813-1901),Dies Irae,https://open.spotify.com/track/3By9jCy6b4dv5XnlhvIWwx,Giuseppe Verdi,1813,1901
Bedřich Smetana,Bedřich Smetana (1824-1884),"6 Album Leaves, Op. 2, JB 1:51: No. 2 in A Minor, Chanson. Moderato",https://open.spotify.com/track/01bE92ADfWtIskqhPwvj58,Bedrich Smetana,1824,1884
Igor Stravinsky,Igor Stravinsky (1882-1971),"Stravinsky: The Rite of Spring, Pt. 1 ""Adoration of the Earth"": Introduction - Augurs of Spring - Dances of the Young Girls - Ritual of Abduction",https://open.spotify.com/track/6FQsHpV1DREJFMBZmMKITF,Igor Stravinsky,1882,1971
Igor Stravinsky,Igor Stravinsky (1882-1971),"The Rake's Progress, Act I Scene 3: Aria. Quietly, night… (Anne)",https://open.spotify.com/track/4bgOvTfu8ln7M07DgFJmJl,Igor Stravinsky,1882,1971
Tuotilo,Tuotilo (850-915),Hodie pectore mundo - Cernere quod,https://open.spotify.com/track/4Bn6RPuIwHHQVq14gGGkZy,Tuotilo,850,915
Oswald von Wolkenstein,Oswald von Wolkenstein (1376-1445),Es fügt sich: Movements I-III,https://open.spotify.com/track/4ajflaxFtD9PiWBCn7A64v,Oswald von Wolkenstein,1376,1445
Guillaume Dufay,Guillaume Dufay (1400-1474),Saltarello - Guillaume Dufay / Jordi Savall,https://open.spotify.com/track/5BHAKNY4j859CUXlCjsgaP,Guillaume Dufay,1400,1474
Johannes Ockeghem,Johannes Ockeghem (1420-1496),Ockeghem: Missa pro defunctis: I. Requiem aeternam,https://open.spotify.com/track/4oGx9In9x67C8cFvL96WO6,Johannes Ockeghem,1420,1496
Giuseppe Verdi,Giuseppe Verdi (1813-1901),"Rigoletto, Act III: La donna è mobile",https://open.spotify.com/track/50KVOLNNqft8SJr5ybrv8G,Giuseppe Verdi,1813,1901
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky (1840-1893),"Tchaikovsky: The Nutcracker, Op. 71: Miniature Overture",https://open.spotify.com/track/38cYmA8SF9I2FRbfNdRyVZ,Pyotr Ilyich Tchaikovsky,1840,1893
Notker Balbulus,Notker Balbulus (840-912),Natus ante saecula,https://open.spotify.com/track/3BTHqTXKlx8tAK5ZMAuVZa,Notker Balbulus,840,912
Guillaume de Machaut,Guillaume de Machaut (1300-1377),Douce dame jolie,https://open.spotify.com/track/16EFosNh2wJGWP6KotAsK8,Guillaume de Machaut,1300,1377
Peter Philips,Peter Philips (1560-1628),Christus resurgens,https://open.spotify.com/track/2MS1LzqWFA4DHsW5qsY4QD,Peter Philips,1560,1628
Franz Liszt,Franz Liszt (1811-1886),"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",https://open.spotify.com/track/2u9VGZmVz7Rm01SfDgzcfA,Franz Liszt,1811,1886
Franz Liszt,Franz Liszt (1811-1886),"La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141/3)",https://open.spotify.com/track/2Hnurh1BcigGbCGFOb4Uid,Franz Liszt,1811,1886
Nikolai Rimsky-Korsakov,Nikolai Rimsky-Korsakov (1844-1908),The Tale of Tsar Saltan: Flight of the Bumblebee,https://open.spotify.com/track/2AOyCARLk3Fy2XtskBJnzB,Nikolai Rimsky-Korsakov,1844,1908
Johannes Ciconia,Johannes Ciconia (1370-1412),Per quella strada lactea del cielo,https://open.spotify.com/track/1K61TqEFyEA7fkOumdQ7J7,Johannes Ciconia,1370,1412
Élisabeth Jacquet de La Guerre,Élisabeth Jacquet de La Guerre (1665-1729),Violin Sonata No. 2 in D Major: I. Presto,https://open.spotify.com/track/7qpkLZL5ePxCfZMA3PuNjg,Élisabeth Jacquet de La Guerre,1665,1729
Francesco Cavalli,Francesco Cavalli (1602-1676),"Musiche sacre: No. 23, Canzon à 3",https://open.spotify.com/track/5WoBYhdGDMjZ264X2FUJQ7,Francesco Cavalli,1602,1676
Sergei Rachmaninoff,Sergei Rachmaninoff (1873-1943),"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",https://open.spotify.com/track/4rrrn8OLrttq7r9RgNXalU,Sergei Rachmaninoff,1873,1943
George Gershwin,George Gershwin (1898-1937),Rhapsody in Blue,https://open.spotify.com/track/0yzhOPf0iw2qWwcXRRta5L,George Gershwin,1898,1937
Steve Reich,Steve Reich (1936-NA),Electric Counterpoint: III. Fast,https://open.spotify.com/track/4qyPKRu0yppEcIFsAMvPWi,Steve Reich,1936,NA
Elliott Carter,Elliott Carter (1908-2012),Cello Concerto: 3. Giocoso,https://open.spotify.com/track/2UTbgxk6Qm5dJgT4udXi19,Elliott Carter,1908,2012
Carlo Gesualdo,Carlo Gesualdo (1561-1613),"Tenebrae Responsories, Feria quinta: II. Tristis est anima mea",https://open.spotify.com/track/4P8V3vCiUiL6DVSH6ggk8a,Carlo Gesualdo,1561,1613
Orlande de Lassus,Orlande de Lassus (1532-1594),Lagrime di San Pietro: V. Giovane donna il suo bel volto in specchio,https://open.spotify.com/track/2kxYAiduLoK6qHEvNybFkU,Orlande de Lassus,1532,1594
Tomás Luis de Victoria,Tomás Luis de Victoria (1549-1611),Responsories for Maundy Thursday Nocturn 2: I. Amicus meus osculi me tradidit signa,https://open.spotify.com/track/3odchAeVZWKxPNHwd9jt0e,Tomás Luis de Victoria,1549,1611
Johann Joachim Quantz,Johann Joachim Quantz (1697-1773),"Flute Concerto in D Minor, QV 5:81: II. Arioso",https://open.spotify.com/track/0JWcB3Vvz1XWqM1BIky8zn,Johann Joachim Quantz,1697,1773
Johann Gottlieb Goldberg,Johann Gottlieb Goldberg (1727-1756),"Trio Sonata No. 4 in C Major, DürG 13 (Attrib. J.S. Bach as BWV 1037): I. Adagio",https://open.spotify.com/track/0AeJNPgtj79XgWzjGiered,Johann Gottlieb Goldberg,1727,1756
Béla Bartók,Béla Bartók (1881-1945),"Piano Concerto No. 2, Sz. 95: I. Allegro",https://open.spotify.com/track/6tEO7bieJDK8CAI0zplfu0,Béla Bartók,1881,1945
Guillaume Dufay,Guillaume Dufay (1400-1474),Je me complains piteusement,https://open.spotify.com/track/5ZSy5jNHyxWE3eWJ0wQXCl,Guillaume Dufay,1400,1474
Guillaume Dufay,Guillaume Dufay (1400-1474),Ave maris stella,https://open.spotify.com/track/74ZO67W83WAwvOopHFiQ7j,Guillaume Dufay,1400,1474
Anthony Holborne,Anthony Holborne (1545-1602),Image of Melancholy,https://open.spotify.com/track/0zTy4y1PqqaZYMlKqChl4t,Anthony Holborne,1545,1602
John Dowland,John Dowland (1563-1626),"The Shoemaker's Wife. A Toy, P 58",https://open.spotify.com/track/2k2Hky9hJbd6E0F1no47sG,John Dowland,1563,1626
Christopher Tye,Christopher Tye (1505-1573),In nomine: Rachell’s Weepinge,https://open.spotify.com/track/73rABTVJBXkp3bdhdYy6b7,Christopher Tye,1505,1573
Robert Lucas Pearsall,Robert Lucas Pearsall (1795-1856),Sing we and chaunt it,https://open.spotify.com/track/70Ah4eda7H7gLt4KS9rfAQ,Robert Lucas Pearsall,1795,1856
Antoine Brumel,Antoine Brumel (1460-1512),Sicut lilium,https://open.spotify.com/track/3Q4IDptEJXkEopGEzFwYBZ,Antoine Brumel,1460,1512
Matthew Locke,Matthew Locke (1621-1677),"The Broken Consort I, Suite No. 3 in C Major: I. Fantasy for 2 Trebles and Bass",https://open.spotify.com/track/2RoSHqaRXA1wIhaB6JiNCw,Matthew Locke,1621,1677
Alexander Agricola,Alexander Agricola (1446-1506),"Missa, ""In myne zin"": Agnus Dei: Agnus I",https://open.spotify.com/track/6aYO5A9A0fXTQyYhBlWTNv,Alexander Agricola,1446,1506
Heinrich Ignaz Franz von Biber,Heinrich Ignaz Franz von Biber (1644-1704),"Mystery (Rosary) Sonata No. 9, ""Jesus Carries the Cross"": I. Sonata",https://open.spotify.com/track/11YOIFGOdZSR7vTVyKkona,Heinrich Ignaz Franz von Biber,1644,1704
Domenico Scarlatti,Domenico Scarlatti (1685-1757),"Sonata in E Major, K. 380",https://open.spotify.com/track/5olY8yO9tGgPee9xNasVpN,Domenico Scarlatti,1685,1757
Gioachino Rossini,Gioachino Rossini (1792-1868),Waltz in E-Flat Major,https://open.spotify.com/track/4qwnhaT0LcfJaRNGOhndaQ,Gioachino Rossini,1792,1868
Gustav Mahler,Gustav Mahler (1860-1911),Winterlied,https://open.spotify.com/track/74RyXlypy4lkNesWXoDpbo,Gustav Mahler,1860,1911
Max Richter,Max Richter (1966-NA),Spring 1 - 2012,https://open.spotify.com/track/5xbuJuQsTVheVZvX2AJVIv,Max Richter,1966,NA
Oswald von Wolkenstein,Oswald von Wolkenstein (1376-1445),Skak - Frölich geschrai so well wir machen,https://open.spotify.com/track/5K0eSV1XTd2KPIbZdJPk29,Oswald von Wolkenstein,1376,1445
Antoine Busnois,Antoine Busnois (1430-1492),Amours amours amours,https://open.spotify.com/track/44efDG5frhiCLh8LPy50yF,Antoine Busnois,1430,1492
Alessandro Striggio,Alessandro Striggio (1536-1592),Eran ninfe e pastori,https://open.spotify.com/track/2bnMut60wd1FLcCgnAueWd,Alessandro Striggio,1536,1592
Nicholas Ludford,Nicholas Ludford (1484-1557),Ave cujus conceptio,https://open.spotify.com/track/5wzBuk9gLL3V6Y0s4fzMHb,Nicholas Ludford,1484,1557
Élisabeth Jacquet de La Guerre,Élisabeth Jacquet de La Guerre (1665-1729),Chamber Sonata No. 4 in G Minor: I. Grave,https://open.spotify.com/track/79IEO4HeDBjJ0lZ3gCowrz,Élisabeth Jacquet de La Guerre,1665,1729
Wilhelm Friedemann Bach,Wilhelm Friedemann Bach (1710-1784),"Keyboard Sonata in E-Flat Major, F. 5: II. Largo",https://open.spotify.com/track/3Txpk5H7P3Qc2ny1KlcWCW,Wilhelm Friedemann Bach,1710,1784
Gaspar Sanz,Gaspar Sanz (1640-1710),Canarios,https://open.spotify.com/track/4wVfNcuFvJzBE5FQ5J479c,Gaspar Sanz,1640,1710
Franz Schubert,Franz Schubert (1797-1828),"Symphony No. 8 in C Major, D. 944 ""Great"": II. Andante con moto",https://open.spotify.com/track/50RJToWwTLazCAzLASGaTM,Franz Schubert,1797,1828
Mykola Lysenko,Mykola Lysenko (1842-1912),"2nd Rhapsody on Ukrainian Themes, Op. 18 ""Dumka-Shumka""",https://open.spotify.com/track/7mpDfat4l7rGPQvH5s4hZo,Mykola Lysenko,1842,1912
Mykola Lysenko,Mykola Lysenko (1842-1912),"Personal Album, Op. 40: No. 1, A Moment of Despair",https://open.spotify.com/track/0wt0HAkHQ20cZF02lGEgwk,Mykola Lysenko,1842,1912
Luciano Berio,Luciano Berio (1925-2003),"6 Encores for Piano (1965): No. 3, Wasserklavier",https://open.spotify.com/track/0RnF44RV45by9HTtZuttgl,Luciano Berio,1925,2003
Thomas Morley,Thomas Morley (1557-1602),A lieta vita (Sing and we chant it),https://open.spotify.com/track/4sEtmSTL1v6z1B8RNjiYLe,Thomas Morley,1557,1602
Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina (1525-1594),O Bone Iesu,https://open.spotify.com/track/27HoHsQWBg6lxnlFip2fwi,Giovanni Pierluigi da Palestrina,1525,1594
Baude Cordier,Baude Cordier (1500-1530),"Tout par compas, Fol. 12 (Rondeau/Canon)",https://open.spotify.com/track/056z6eM7cdlYM8Vho23AnF,Baude Cordier,1500,1530
Jean L'héritier,Jean L'héritier (1480-1551),Nigra sum sed formosa II,https://open.spotify.com/track/3hYpdHH3keEP3PWm4MjAnX,Jean L'héritier,1480,1551
George Frideric Handel,George Frideric Handel (1685-1759),"Water Music, Suite No. 2, HWV 349: No. 12, Alla Hornpipe",https://open.spotify.com/track/6x1xxlk6Dw1IdzvrzsL7B3,George Frideric Handel,1685,1759
Christoph Willibald Gluck,Christoph Willibald Gluck (1714-1787),"Orfeo ed Euridice, Wq. 30: Danse des champs-elysées ""Mélodie"" (Arr. I. Friedman for Piano)",https://open.spotify.com/track/3xIu6hYXz0gTjJtmGu60M8,Christoph Willibald Gluck,1714,1787
Modest Mussorgsky,Modest Mussorgsky (1839-1881),Pictures at an Exhibition (Orch. M. Ravel): Promenade II,https://open.spotify.com/track/5uONLpSzdrUP6N1rSKRU8o,Modest Mussorgsky,1839,1881
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky (1840-1893),"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",https://open.spotify.com/track/72jIJDADnBLJKXV2yxv5N0,Pyotr Ilyich Tchaikovsky,1840,1893
Gustav Mahler,Gustav Mahler (1860-1911),Symphony No. 5 In C Sharp Minor: 4. Adagietto (Sehr langsam),https://open.spotify.com/track/0M78i2tXl07RGPjcm0InHA,Gustav Mahler,1860,1911
Josquin des Prez,Josquin des Prez (1450-1521),Obsecro te,https://open.spotify.com/track/4Ty3xe0DxUYIq1vTog3sJr,Josquin Des Prez,1450,1521
Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina (1525-1594),Angelus Domini descendit,https://open.spotify.com/track/1H4Wh0ltvt6GDQzCAhk9Lk,Giovanni Pierluigi da Palestrina,1525,1594
Johann Sebastian Bach,Johann Sebastian Bach (1685-1750),"Matthäus-Passion, BWV 244: Erbarme dich mein Gott",https://open.spotify.com/track/4Q6g02eGms6bUNkTgkgyGK,Johann Sebastian Bach,1685,1750
Jean Sibelius,Jean Sibelius (1865-1957),"6 Impromptus, Op. 5: Impromptu VI",https://open.spotify.com/track/1juisCcrVdwoLbDWyVvNrX,Jean Sibelius,1865,1957
Felix Mendelssohn,Felix Mendelssohn (1809-1847),"Overture to ""A Midsummer Night's Dream"", Op. 21: Tempo primo",https://open.spotify.com/track/2idvFSH2im8mdSaMiE81vn,Felix Mendelssohn,1809,1847
Clément Janequin,Clément Janequin (1485-1558),Au joly jeu,https://open.spotify.com/track/1PoTSO2QQDEg66PqDHS38j,Clément Janequin,1485,1558
Johann Sebastian Bach,Johann Sebastian Bach (1685-1750),"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",https://open.spotify.com/track/5mRrklQD0rvuN6sV10HfPn,Johann Sebastian Bach,1685,1750
Claude Debussy,Claude Debussy (1862-1918),"Debussy: Preludes, Book 1, L. 117: V. Les collines d'Anacapri",https://open.spotify.com/track/1bkDCG0kw4zgjMHpewwnVQ,Claude Debussy,1862,1918
Amy Beach,Amy Beach (1867-1944),"3 Compositions, Op. 40: No. 2, Berceuse",https://open.spotify.com/track/2fDLC30XLnXwVtASMgsD1b,Amy Beach,1867,1944
Francis Poulenc,Francis Poulenc (1899-1963),"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",https://open.spotify.com/track/0gxQmk1VyK2dprLpKqWKQf,Francis Poulenc,1899,1963
Claude Gervaise,Claude Gervaise (1525-1583),"Pavane, Gaillarde & Branle de Champagne",https://open.spotify.com/track/72MyMeH7PPBwjqQljbblN3,Claude Gervaise,1525,1583
Clara Schumann,Clara Schumann (1819-1896),"3 Romances, Op. 11: No. 1, Andante",https://open.spotify.com/track/6VLzm03YUeXVl3GdGyib6J,Clara Schumann,1819,1896
John Adams,John Adams (1947-NA),Short Ride in a Fast Machine,https://open.spotify.com/track/6Olyr6tQ7DKWPJro6nn35C,John Adams,1947,NA
John Dowland,John Dowland (1563-1626),"Come Again, Sweet Love Doth Now Invite",https://open.spotify.com/track/0O53MwxOS57Fa0Bz6UlPyg,John Dowland,1563,1626
Giovanni de Macque,Giovanni de Macque (1548-1614),"Io piango o filli, madrigal à 5",https://open.spotify.com/track/14dJAU0QWOgwV7xIA3edRU,Giovanni de Macque,1548,1614
Jean-Philippe Rameau,Jean-Philippe Rameau (1683-1764),The Arts and the Hours,https://open.spotify.com/track/1G3QPQkoXvpChjNUhd6Tfs,Jean-Philippe Rameau,1683,1764
Henry Purcell,Henry Purcell (1659-1695),"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)",https://open.spotify.com/track/06O078Zw6xX8iMh4lpWn01,Henry Purcell,1659,1695
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart (1756-1791),"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro",https://open.spotify.com/track/0iGDZom5WctL4eSQogMhMp,Wolfgang Amadeus Mozart,1756,1791
Tomás Luis de Victoria,Tomás Luis de Victoria (1549-1611),Liturgia de Pascua en el Madrid de los Austrias / Ad Vesperas: Himnus: Ad caenam Agni providi [Ad Vesperas],https://open.spotify.com/track/0OvNQt4kuO1ub1cGEOmiAi,Tomás Luis de Victoria,1549,1611
Johann Sebastian Bach,Johann Sebastian Bach (1685-1750),"Goldberg Variations, BWV 988: Aria",https://open.spotify.com/track/4GFuyvrYOQYDS497hffJXT,Johann Sebastian Bach,1685,1750
Antonio Vivaldi,Antonio Vivaldi (1678-1741),"Violin Concerto in E-Flat Major, RV 257: III. Allegro",https://open.spotify.com/track/5AW6hac4JAKu0ygmZUw7HF,Antonio Vivaldi,1678,1741
Claude Debussy,Claude Debussy (1862-1918),"Suite bergamasque, L. 75: III. Clair de lune",https://open.spotify.com/track/26KykHLogeIep4OrurliDS,Claude Debussy,1862,1918
Amy Beach,Amy Beach (1867-1944),"By the Still Waters, Op. 114",https://open.spotify.com/track/3qLZnIVAiGexuNuG8Aptrq,Amy Beach,1867,1944
Alban Berg,Alban Berg (1885-1935),"Violin Concerto ""To the Memory of an Angel"": I. Andante – Allegretto",https://open.spotify.com/track/0TPeXLC56GfnWscAYX091j,Alban Berg,1885,1935
Vicente Lusitano,Vicente Lusitano (1520-1561),Regina caeli,https://open.spotify.com/track/5MMb7xNiVNilblN9lZR9rB,Vicente Lusitano,1520,1561
Georg Muffat,Georg Muffat (1653-1704),Sonata III: V. Rondeau,https://open.spotify.com/track/3sHoPmz13tcBdi6TTqMDI1,Georg Muffat,1653,1704
Marin Marais,Marin Marais (1656-1728),"Pièces de viole, Livre 2 - Suite No. 3 in D Major: No. 63. Les Voix Humaines (Lentement)",https://open.spotify.com/track/1b7Gui95FOHRRza7gh8KDf,Marin Marais,1656,1728
Mykola Lysenko,Mykola Lysenko (1842-1912),"Farewell. Waltz in C Minor, Op. 39, No. 1",https://open.spotify.com/track/1T3B13guRpXY9h6TeqLmCR,Mykola Lysenko,1842,1912
Paul Hindemith,Paul Hindemith (1895-1963),"In einer Nacht, Op. 15: No. 2, Sehr langsam - Musical Moments",https://open.spotify.com/track/0b0NXgRU5fX5U6dfjYsgKe,Paul Hindemith,1895,1963
Hans Werner Henze,Hans Werner Henze (1926-2012),Tristan: I. Prologue,https://open.spotify.com/track/2p6gUusMSTkppTHzlfARWc,Hans Werner Henze,1926,2012
Aimeric de Peguilhan,Aimeric de Peguilhan (1175-1230),En greu pantais m’a tengut longamen,https://open.spotify.com/track/0BcRpHknKZ44hfPE6D6w6O,Aimeric de Peguilhan,1175,1230
Clara Schumann,Clara Schumann (1819-1896),"3 Romances, Op. 22: No. 1, Andante molto (Arr. Knoth for Cello and Piano)",https://open.spotify.com/track/1W6ZSpMRXgeM9iSJxA1xus,Clara Schumann,1819,1896
Alban Berg,Alban Berg (1885-1935),Klavierstück in B Minor,https://open.spotify.com/track/2m0Wl1b91F46OpJrf9XywN,Alban Berg,1885,1935
Blasius Amon,Blasius Amon (1558-1590),Magi videntes stellam à 5,https://open.spotify.com/track/5ujOQ4wfNL1BHxhjs7E2Wb,Blasius Amon,1558,1590
Carl Nielsen,Carl Nielsen (1865-1931),"Symphony No. 4, Op. 29 ""The Inextinguishable"": I. Allegro – II. Poco allegretto",https://open.spotify.com/track/5lOylvWBVuknXRfvIdUGtm,Carl Nielsen,1865,1931
Antonio Salieri,Antonio Salieri (1750-1825),"Sinfonia in D Major, ""La Veneziana"": I. Allegro Assai",https://open.spotify.com/track/0cBfrhoEZYa3c5YM7Qr6Vq,Antonio Salieri,1750,1825
